id,status,name,similar,simHouse,type,char,group,season,notesTop,notesHeart,notesBase,badge,desc
50,on_order,1 Million Royal,1 Million Royal,Paco Rabanne,m,woody,восточные древесные,"осень / зима, вечер","Кардамон, Мандарин, Бергамот","Лаванда, Шалфей, Лист фиалки","Бензоин, Кедр, Пачули",hit,"Paco Rabanne 1 Million Royal — королевское расширение линейки 1 Million, выпущенное в 2023 году. Парфюмер Квентин Бищ взял узнаваемую ДНК бренда и перевёл её на более зрелый, уверенный язык: кардамон и мандарин открываются пряно, лаванда с шалфеем придают благородство сердцу, а бензоин в основании создаёт ванильно-смолистый, долгий шлейф. Это 1 Million для мужчины, который знает, чего хочет от жизни.

Этот аромат чаще ищут: Paco Rabanne 1 Million Royal, 1 Миллион Роял мужской, Paco Rabanne кардамон бензоин, 1 million royal отзывы, пако рабан золотой флакон"
51,on_order,Yes I Am Bloom Up!,Yes I Am Bloom Up!,Cacharel,f,floral,цветочные фруктовые,"весна / лето, день","Красные ягоды, Зелёный мандарин","Пион, Цветок апельсина","Бензоин, Сандал",hit,"Cacharel Yes I Am Bloom Up! — жизнерадостное продолжение линейки Yes I Am, появившееся в 2023 году. Дом Cacharel, подаривший нам легендарную Anaïs Anaïs, и здесь остался верен молодой, оптимистичной аудитории. Красные ягоды и зелёный мандарин открываются с фруктовым взрывом, пион с цветком апельсина создают нежное, чуть кремовое сердце, а бензоин и сандал мягко заземляют всё в уютном финале. Яркий и доступный, но по-настоящему приятный аромат.

Этот аромат чаще ищут: Cacharel Yes I Am Bloom Up, Кашарель Да Я Блум Ап, Yes I Am Bloom Up отзывы, ягодный пион женский парфюм, cacharel 2023"
52,on_order,Good Girl Gone Bad,Good Girl Gone Bad,By Kilian,f,floral,цветочные,"круглый год, вечер","Османтус, Персик, Нероли, Бергамот, Мандарин, Корица","Тубероза, Жасмин, Нарцисс, Майская роза","Амбра, Кедр, Сандал, Ветивер, Пачули",,"By Kilian Good Girl Gone Bad — ольфакторный манифест соблазна, созданный парфюмером Альберто Мориллясом в 2012 году. Килиан Хеннесси, внук основателя коньячного дома Hennessy, построил свой бренд на идее «нарциссовых» ароматов — и Good Girl Gone Bad стал их символом. Тубероза абсолют, жасмин и нарцисс создают в сердце ошеломляющий белый флоральный вихрь — одновременно невинный и провокационный. Этот аромат — метафора Евы, вкусившей запретное.

Этот аромат чаще ищут: By Kilian Good Girl Gone Bad, Килиан Гуд Гёрл Гон Бэд, нишевый тубероза жасмин, good girl gone bad отзывы, белый флораль Kilian нишевый"
53,on_order,Les Sables Roses,Les Sables Roses,Louis Vuitton,uni,floral,восточные цветочные,"осень / зима, вечер","Роза, Болгарская роза","Чёрный перец, Шафран","Уд, Амбра",,"Louis Vuitton Les Sables Roses — «розовые пески» как поэтический образ и парфюмерная реальность. Мастер-парфюмер Жак Кавалье-Беллетруд вдохновился рассветом над арабской пустыней: первые лучи солнца смешиваются с дюнами и небом в нежный розовый оттенок. Центифольная роза абсолют и болгарская роза составляют ослепительный цветочный центр, чёрный перец и шафран придают восточную пряность, а уд из Лао с амброй создают долгий, роскошный, глубокий финал. Один из самых признанных ароматов коллекции.

Этот аромат чаще ищут: Louis Vuitton Les Sables Roses, Луи Виттон Розовые Пески, LV роза уд восточный, les sables roses отзывы, Louis Vuitton rose oud"
54,on_order,Myriad,Myriad,Louis Vuitton,uni,fresh,восточные,"осень / зима, вечер",Шафран,"Болгарская роза, Роза из Грасса","Уд из Ассама, Амбретта, Какао, Белый мускус",,"Louis Vuitton Myriad — тёмный и таинственный, как ночное небо над пустыней. Жак Кавалье-Беллетруд создал его в 2023 году как часть коллекции Les Extraits, работая с ассамским удом — одним из самых редких и дорогих в парфюмерии. Шафран открывает аромат пряно и таинственно, болгарская роза с розой из Грасса создают пышное цветочное сердце, а уд с какао и амброй в финале придают ему анималистическую глубину. Мириад — для тех, кто готов к настоящей ароматической экспедиции.

Этот аромат чаще ищут: Louis Vuitton Myriad, Луи Виттон Мириад, LV уд роза шафран, Myriad отзывы, Louis Vuitton Les Extraits новинка"
55,on_order,L'Immensité,L'Immensité,Louis Vuitton,m,oriental,восточные пряные,"весна / лето / осень, день","Грейпфрут, Бергамот, Имбирь","Розмарин, Шалфей, Герань, Водяные ноты","Амброксан, Амбра, Ладанум",,"Louis Vuitton L'Immensité — аромат для любителей открытого горизонта. Жак Кавалье-Беллетруд черпал вдохновение в морских просторах: имбирь, грейпфрут и бергамот открываются свежо и пряно, розмарин с геранью создают травянисто-морское сердце, а амброксан с ладанумом в основании придают теплоту и стойкость. Это аромат для мужчин, которые смотрят вдаль — в буквальном и переносном смысле. Один из самых цитируемых в своём классе.

Этот аромат чаще ищут: Louis Vuitton L'Immensite, Луи Виттон Лимменсите, LV свежий морской мужской, l immensite отзывы, immensite louis vuitton"
56,on_order,Yum Pistachio Gelato | 33,Yum Pistachio Gelato | 33,Kayali,uni,floral,цветочные фруктовые сладкие,"весна / лето / осень, день","Фисташки, Мороженое, Бергамот, Фундук, Ром, Кардамон","Ландыш, Груша, Жасмин, Пион, Малина","Взбитые сливки, Маршмеллоу, Тонка, Сандал, Какао",hit,"Kayali Yum Pistachio Gelato | 33 — ароматный десерт от семьи Катиби, основавшей Kayali в 2018 году. Этот парфюм — прямое обращение к чувственной памяти: фисташки, взбитые сливки и маршмеллоу воссоздают вкус итальянского джелато в стаканчике под палящим солнцем. Ром и кардамон добавляют пикантность, пион с малиной — цветочную нежность, а тонка с какао делают финал тёплым и долгим. Аромат, который невозможно игнорировать.

Этот аромат чаще ищут: Kayali Yum Pistachio Gelato 33, Каяли фисташковое желато, Kayali pistachio отзывы, гурманный фисташка парфюм сладкий, kayali 33"
57,on_order,Flora Gorgeous Magnolia,Flora Gorgeous Magnolia,Gucci,f,floral,цветочные фруктовые,"весна / лето / осень, день","Дьюберри, Кокос","Магнолия, Жасмин Самбак, Шалфей",Пачули,hit,"Gucci Flora Gorgeous Magnolia — третья глава новой флоральной саги Gucci, появившаяся в 2023 году. Дом обновил легендарный флакон в фиолетовых тонах и наполнил его чем-то одновременно сочным и нежным: дьюберри и кокос открываются фруктово и тропически, магнолия с жасмином самбак создают пышный цветочный центр, а пачули в финале добавляет тёмное, смолистое послевкусие. Это Flora, повзрослевшая и ставшая загадочнее.

Этот аромат чаще ищут: Gucci Flora Gorgeous Magnolia, Гуччи Флора Магнолия, Gucci фиолетовый флакон, flora gorgeous magnolia отзывы, Gucci женский цветочный 2023"
58,on_order,Boss Bottled Elixir,Boss Bottled Elixir,Hugo Boss,m,woody,восточные древесные,"осень / зима, вечер","Кардамон, Ладан","Ладан, Кедр","Ветивер, Пачули, Ладанум, Кедр",hit,"Hugo Boss Boss Bottled Elixir — неожиданный и смелый шаг от массового дома, вышедший в 2023 году. Парфюмеры Анник Менардо и Сюзи Ле Элле создали аромат, который по качеству и характеру легко конкурирует с нишевыми марками: кардамон и ладан открываются мощно и пряно, кедр в сердце добавляет сухую аристократичность, а финал из ветивера и пачули с ладанумом — тёплый, смолистый, долгий. Это Boss, каким его ещё не видели.

Этот аромат чаще ищут: Hugo Boss Boss Bottled Elixir, Хьюго Босс Элексир, Boss Bottled Elixir отзывы, ладан кедр мужской парфюм, boss elixir 2023"
59,on_order,Lust For Sun,Lust For Sun,Juliette Has A Gun,uni,floral,цветочные,"весна / лето, день","Кокос, Фрезия, Бергамот","Гардения, Жасмин, Иланг-иланг, Цветок апельсина","Белый мускус, Амброксан, Ваниль",hit,"Juliette Has A Gun Lust for Sun — солнечный коктейль от парижского парфюмерного дома, основанного Романо Риччи в 2005 году. Этот аромат 2023 года создавался как запах кожи, нагретой солнцем у бассейна: кокос и бергамот открываются свежо и тропически, гардения с жасмином и иланг-илангом составляют пышную цветочную оду лету, а белый мускус и амброксан в финале создают шлейф разогретой кожи. Для тех, кто хочет унести лето с собой.

Этот аромат чаще ищут: Juliette Has A Gun Lust for Sun, Джульетта с Пистолетом летний, JHAG кокос жасмин, lust for sun отзывы, пляжный летний парфюм 2023"
60,on_order,Orza,Orza,Tiziana Terenzi,uni,floral,цветочные фруктовые,"весна / лето, день / вечер","Лесные ягоды, Кокос, Зелёное яблоко, Слива, Мандарин, Магнолия","Жасмин, Болгарская роза, Ландыш","Карамель, Мускус, Ваниль, Бензоин, Амбра, Сандал",hit,"Tiziana Terenzi Orza — щедрый, праздничный аромат от римского семейного дома, основанного в 1960 году как производство свечей. Orza — воплощение итальянской жизнерадостности: ягоды, кокос, яблоко и слива создают фруктовое изобилие, жасмин с болгарской розой добавляют флоральную романтику, а карамельно-ванильная база делает его по-настоящему обволакивающим. Аромат разлит в характерном флаконе из муранского стекла — само по себе произведение искусства.

Этот аромат чаще ищут: Tiziana Terenzi Orza, Тициана Терензи Орза, итальянский нишевый фруктовый, Orza отзывы, tiziana terenzi фруктовый сладкий"
61,on_order,For Her Musk Nude,For Her Musk Nude,Narciso Rodriguez,f,floral,цветочные мускусные,"круглый год, день","Розовый перец, Жасмин, Белые цветы","Роза, Цветок апельсина, Фирменный мускус Narciso","Тонка, Кедр, Пачули",,"Narciso Rodriguez For Her Musc Nude — утончённая вариация на тему фирменного мускуса дома, созданная парфюмером Соней Константен. Narciso Rodriguez с самого первого аромата 2003 года строил свою философию на «мускусе второй кожи», и Musc Nude — его самое нежное воплощение. Розовый перец добавляет лёгкую игривость, роза и жасмин создают деликатное флоральное сердце, а финал из тонки и пачули превращает аромат в тёплый, неотступный шлейф. Это парфюм, который называют «собственным телом, только лучше».

Этот аромат чаще ищут: Narciso Rodriguez For Her Musk Nude, Нарцисо Родригес Мускус Нюд, мускусный нежный женский, musc nude отзывы, narciso rodriguez for her 2024"
62,on_order,Blanche Bête,Blanche Bête,Liquides Imaginaires,uni,woody,цветочные древесно-мускусные,"осень / зима, вечер","Молоко, Амбретта, Мистикаль","Тубероза, Жасмин, Ладан, Магнолиаль","Ваниль, Мускус, Тонка, Какао",,"Les Liquides Imaginaires Blanche Bête — «белый зверь», существо из ольфакторной сказки. Парижский нишевый дом создаёт ароматы как литературные произведения, и Blanche Bête — один из самых обсуждаемых. Парфюмер Луиза Тёрнер использовала молочный аккорд и амбретту для молочно-теплого открытия, тубероза с жасмином создают нежную, почти тревожную цветочную середину, а ваниль, тонка и какао в финале превращают его в бархатистое, уютное облако. Культовый аромат поколения.

Этот аромат чаще ищут: Blanche Bete Liquides Imaginaires, Бланш Бет Ликид Имажинер, молочный тубероза нишевый, blanche bete отзывы, les liquides imaginaires парфюм"
63,on_order,Afternoon Swim,Afternoon Swim,Louis Vuitton,uni,fresh,цитрусовые,"весна / лето, день","Мандарин, Сицилийский апельсин, Бергамот","Водяные ноты, Кокос",Белый мускус,,"Louis Vuitton Afternoon Swim — послеполуденный заплыв в флаконе. Жак Кавалье-Беллетруд создал ольфакторный снэпшот середины дня: сицилийский апельсин и мандарин сверкают в открытии, кокос и водяные ноты погружают в атмосферу бассейна, а белый мускус в финале — это запах чистой влажной кожи после купания. Минималистичный и освежающий, он идеален для жары.

Этот аромат чаще ищут: Louis Vuitton Afternoon Swim, Луи Виттон Afternoon Swim, LV летний плавательный, afternoon swim отзывы, luis vuitton цитрусовый мускус лето"
64,on_order,My Way Parfum,My Way Parfum,Armani,f,floral,восточные цветочные,"круглый год, вечер","Бергамот, Тубероза","Тубероза, Жасмин","Сандал, Мускус, Ваниль",,"Giorgio Armani My Way Parfum — более концентрированная, роскошная версия любимого My Way. Если оригинал звучал лирично и воздушно, то Parfum — это его зрелая, чувственная сестра. Тубероза здесь берёт на себя главную роль: сочная, кремовая, немного головокружительная — она составляет сердце аромата вместе с жасмином. Сандал и ваниль в финале придают ему тёплую интимность. Идеален для осенних вечеров и особых случаев.

Этот аромат чаще ищут: Armani My Way Parfum, Армани Май Вэй Парфюм, туберроза женский парфюм Armani, my way parfum отзывы, Giorgio Armani parfum 2022"
65,on_order,Rose Musk,Rose Musk,Montale,f,woody,цветочные древесно-мускусные,"круглый год, день","Роза, Бергамот","Роза, Мускус","Белый мускус, Кедр",hit,"Montale Roses Musk — кристально чистый розово-мускусный дуэт от французского дома, вдохновлённого Востоком. Пьер Монталь, проживший годы в Саудовской Аравии, умеет работать с розой: здесь она звучит свежо, без пудры и без тяжести, поддержанная жасмином и лёгким бергамотом. Мускусный финал делает аромат «кожным» и долгим. Это один из самых доступных и универсальных флоральных в линейке Montale.

Этот аромат чаще ищут: Montale Roses Musk, Монталь роза мускус, цветочный мускусный Montale, roses musk отзывы, розовый парфюм унисекс Монталь"
66,on_order,Red Tobacco,Red Tobacco,Mancera,uni,oriental,восточные пряные,"осень / зима, вечер","Красные ягоды, Бергамот","Табак, Роза","Пачули, Ваниль, Мускус",,"Mancera Red Tobacco — дерзкий дуэт ягод и табака от парижского нишевого дома. Пьер Монталь, основавший Mancera как «секретный» проект, здесь создал провокационный контраст: красные ягоды и бергамот открывают аромат сочно и свежо, роза в сердце добавляет цветочную объёмность, а табак с пачули и ванилью в финале — это тёмный, смолистый, мужественный шлейф. Ягодно-табачный парфюм, который невозможно не заметить.

Этот аромат чаще ищут: Mancera Red Tobacco, Манцера Красный Табак, табачный ягодный унисекс, red tobacco mancera отзывы, нишевый табак парфюм"
67,on_order,Baccarat Rouge 540,Baccarat Rouge 540,Francis Kurkdjian,uni,floral,восточные цветочные,"круглый год, вечер","Шафран, Жасмин","Амберуд, Серая амбра, Гедион","Еловая смола, Кедр, Амброксан",,"Maison Francis Kurkdjian Baccarat Rouge 540 — аромат-эпоха. Созданный в 2015 году по заказу Baccarat к 250-летию хрустальной мануфактуры, он быстро стал самым обсуждаемым парфюмом десятилетия. За его простой на вид пирамидой скрывается сложная алхимия: шафран и жасмин создают пряно-цветочное открытие, amberwood — уникальный запатентованный аккорд — составляет сладко-древесное сердце, а еловая смола с амброксаном в финале оставляют шлейф, который держится сутками. Статусный, узнаваемый, безупречный.

Этот аромат чаще ищут: Baccarat Rouge 540, МФК 540, BR540 парфюм, Francis Kurkdjian отзывы, Баккара Руж нишевый"
68,on_order,Fleur Narcotique,Fleur Narcotique,Ex Nihilo,uni,floral,цветочные фруктовые,"весна / лето, день","Личи, Бергамот, Персик","Пион, Жасмин, Цветок апельсина","Мускус, Амбра",hit,"Ex Nihilo Fleur Narcotique — флагманский аромат парижского нишевого дома, основанного в 2013 году Яром Лагнадо и Элизой Комбье. «Наркотический цветок» соответствует своему имени: личи и персик создают тропически-сочное открытие, пион с жасмином наполняют сердце пышным флоральным опьянением, а мускус и амбра оставляют лёгкий, завораживающий шлейф. Это аромат, который замечают окружающие — и не могут забыть.

Этот аромат чаще ищут: Ex Nihilo Fleur Narcotique, Экс Нихило Флер Нарцотик, нишевый пион личи женский, fleur narcotique отзывы, ex nihilo paris парфюм"
69,on_order,Tobacco Vanille,Tobacco Vanille,Tom Ford,uni,oriental,восточные пряные,"осень / зима, вечер","Лист табака, Пряности","Ваниль, Какао, Тонка, Цветок табака","Сухофрукты, Древесные ноты",,"Tom Ford Tobacco Vanille — культовый аромат из линии Private Blend, запущенной Томом Фордом в 2007 году. Он стал одним из пионеров нишевого направления в мейнстриме и до сих пор остаётся эталоном табачно-ванильного жанра. Лист табака раскрывается тепло и пряно, какао и цветок табака придают сладкую глубину, а финальный аккорд из тонки и сухофруктов создаёт почти ликёрное, бесконечно тягучее послевкусие. Говорят, именно так пахнет воздух в кубинских сигарных лавках.

Этот аромат чаще ищут: Tom Ford Tobacco Vanille, Том Форд Тобакко Ваниль, табачный ванильный парфюм TF, tobacco vanille отзывы, том форд частная коллекция"
70,on_order,Lost Cherry,Lost Cherry,Tom Ford,uni,floral,восточные цветочные,"осень / зима, вечер","Горький миндаль, Чёрная вишня, Cherry Liqueur","Вишня, Слива, Турецкая роза, Жасмин Самбак","Ваниль, Тонка, Корица, Сандал, Бензоин, Кедр, Пачули",hit,"Tom Ford Lost Cherry — тёмная вишнёвая история из коллекции Private Blend 2018 года. Том Форд снова работал с запретными темами: горький миндаль и вишнёвый ликёр создают открытие, похожее на укус спелого марципана, турецкая роза с жасмином самбак добавляют флоральный объём, а финальный аккорд из ванили, тонки и корицы — тёплый, чувственный, обволакивающий. Аромат для тех, кто любит сладкую ночь.

Этот аромат чаще ищут: Tom Ford Lost Cherry, Том Форд Лост Черри, вишнёвый парфюм TF, lost cherry отзывы, том форд частная коллекция вишня"
71,on_order,Aventus,Aventus,Creed,m,sweet,шипровые фруктовые,"круглый год, день / вечер","Ананас, Чёрная смородина, Яблоко, Бергамот","Берёза, Пачули, Жасмин, Роза","Мускус, Дубовый мох, Амбра, Ваниль",,"Creed Aventus — легенда, которой уже больше 15 лет, и она по-прежнему задаёт стандарт. Французский дом Creed, ведущий историю с 1760 года и поставлявший ароматы королевским дворам Европы, создал в 2010 году парфюм-биографию Наполеона Бонапарта. Ананас и смородина открываются дерзко и ярко, берёза с пачули придают дымную, почти кожаную серединку, а дубовый мох и амбра в финале — это мужская сила и харизма в аромате. Aventus — не просто парфюм: это заявление о себе.

Этот аромат чаще ищут: Creed Aventus, Криид Авентус, классический мужской нишевый Creed, aventus отзывы, ананасовый дымный мужской парфюм"
72,on_order,Arabian Tonka,Arabian Tonka,Montale,uni,woody,восточные древесные,"осень / зима, вечер","Шафран, Бергамот","Уд, Болгарская роза","Бобы тонка, Амбра, Белый мускус, Дубовый мос",hit,"Montale Arabian Tonka — восточная элегия в бутоне тонки. Пьер Монталь вырос на Востоке и привнёс в французскую парфюмерию подлинный аравийский характер. Шафран и бергамот открываются тепло и пряно, уд с болгарской розой создают роскошное, насыщенное сердце, а тонка с амброй в финале — это бархатная, сладкая завеса, которая остаётся на коже часами. Монументальный ориентальный аромат для особых вечеров.

Этот аромат чаще ищут: Montale Arabian Tonka, Монталь Арабиан Тонка, шафран уд тонка парфюм, arabian tonka montale отзывы, восточный нишевый тёплый унисекс"
73,on_order,Le Mâle Elixir,Le Mâle Elixir,Jean Paul Gaultier,m,oriental,восточные пряные,"осень / зима, вечер","Лаванда, Ваниль","Амбра, Тонка","Карамель, Сандал, Пачули",,"Jean Paul Gaultier Le Mâle Elixir — усиленная, интенсивная версия культового Le Mâle, созданная в 2022 году. Дом JPG, известный своими провокационными образами и легендарным флаконом в виде торса, взял ДНК оригинала и насытил его до предела: лаванда и ваниль открываются тепло и чувственно, амбра с тонкой создают насыщенное, почти бархатное сердце, а карамельный финал с пачули и сандалом — это ночной шлейф, который остаётся в памяти. Парфюм для уверенных и бесстрашных.

Этот аромат чаще ищут: Jean Paul Gaultier Le Male Elixir, ЖПГ Ле Маль Элексир, JPG Le Male Elixir отзывы, лаванда карамель мужской парфюм, jean paul gaultier мужской 2022"
